Country Name,"Country Code","Series Name","Series Code","2020 [YR2020]"
Benin,"BEN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","19.8724704276524"
Benin,"BEN","Labor force, total","SL.TLF.TOTL.IN","4496470"
Bermuda,"BMU","GDP (current US$)","NY.GDP.MKTP.CD","6887147000"
Bermuda,"BMU","Population, total","SP.POP.TOTL","63893"
Bermuda,"BMU","Urban population","SP.URB.TOTL","63893"
Bermuda,"BMU","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","1.87477123737335"
Bermuda,"BMU","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","82.0560975609756"
Bermuda,"BMU","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","22.059744042054"
Bermuda,"BMU","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","47.1361363420877"
Bermuda,"BMU","Labor force, total","SL.TLF.TOTL.IN","#N/A"
Bhutan,"BTN","GDP (current US$)","NY.GDP.MKTP.CD","2325184481.4277"
Bhutan,"BTN","Population, total","SP.POP.TOTL","772506"
Bhutan,"BTN","Urban population","SP.URB.TOTL","326894"
Bhutan,"BTN","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","5.90141773223877"
Bhutan,"BTN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","71.609"
Bhutan,"BTN","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","46.2571049554242"
Bhutan,"BTN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","29.6639651797693"
Bhutan,"BTN","Labor force, total","SL.TLF.TOTL.IN","359185"
Bolivia,"BOL","GDP (current US$)","NY.GDP.MKTP.CD","36629843805.0216"
Bolivia,"BOL","Population, total","SP.POP.TOTL","11936162"
Bolivia,"BOL","Urban population","SP.URB.TOTL","8369995"
Bolivia,"BOL","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","9.8374547958374"
Bolivia,"BOL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","64.467"
Bolivia,"BOL","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","25.2306728196014"
Bolivia,"BOL","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","20.2725897739051"
Bolivia,"BOL","Labor force, total","SL.TLF.TOTL.IN","5705374"
Bosnia and Herzegovina,"BIH","GDP (current US$)","NY.GDP.MKTP.CD","19950471170.6465"
Bosnia and Herzegovina,"BIH","Population, total","SP.POP.TOTL","3318407"
Bosnia and Herzegovina,"BIH","Urban population","SP.URB.TOTL","1626683"
Bosnia and Herzegovina,"BIH","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","#N/A"
Bosnia and Herzegovina,"BIH","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","76.225"
Bosnia and Herzegovina,"BIH","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","48.5909529186708"
Bosnia and Herzegovina,"BIH","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","34.6530176842424"
Bosnia and Herzegovina,"BIH","Labor force, total","SL.TLF.TOTL.IN","1321242"
Botswana,"BWA","GDP (current US$)","NY.GDP.MKTP.CD","14930072458.5814"
Botswana,"BWA","Population, total","SP.POP.TOTL","2546402"
Botswana,"BWA","Urban population","SP.URB.TOTL","1804813"
Botswana,"BWA","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","8.73999977111816"
Botswana,"BWA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.647"
Botswana,"BWA","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","46.4669588634197"
Botswana,"BWA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","31.3537305319898"
Botswana,"BWA","Labor force, total","SL.TLF.TOTL.IN","1066751"
Brazil,"BRA","GDP (current US$)","NY.GDP.MKTP.CD","1448559976218.19"
Brazil,"BRA","Population, total","SP.POP.TOTL","213196304"
Brazil,"BRA","Urban population","SP.URB.TOTL","185636418"
Brazil,"BRA","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","#N/A"
Brazil,"BRA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","74.009"
Brazil,"BRA","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","16.0953836716373"
Brazil,"BRA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","16.7950684328172"
Brazil,"BRA","Labor force, total","SL.TLF.TOTL.IN","100641931"
British Virgin Islands,"VGB","GDP (current US$)","NY.GDP.MKTP.CD","#N/A"
British Virgin Islands,"VGB","Population, total","SP.POP.TOTL","30910"
British Virgin Islands,"VGB","Urban population","SP.URB.TOTL","14996"
British Virgin Islands,"VGB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","2.59050011634827"
British Virgin Islands,"VGB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","75.849"
British Virgin Islands,"VGB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","#N/A"
British Virgin Islands,"VGB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","#N/A"
British Virgin Islands,"VGB","Labor force, total","SL.TLF.TOTL.IN","#N/A"
Brunei Darussalam,"BRN","GDP (current US$)","NY.GDP.MKTP.CD","12005825759.223"
Brunei Darussalam,"BRN","Population, total","SP.POP.TOTL","441725"
Brunei Darussalam,"BRN","Urban population","SP.URB.TOTL","345650"
Brunei Darussalam,"BRN","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","#N/A"
Brunei Darussalam,"BRN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","74.795"
Brunei Darussalam,"BRN","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","52.9348922424642"
Brunei Darussalam,"BRN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","57.3561114159878"
Brunei Darussalam,"BRN","Labor force, total","SL.TLF.TOTL.IN","218013"
Bulgaria,"BGR","GDP (current US$)","NY.GDP.MKTP.CD","70240275010.1964"
Bulgaria,"BGR","Population, total","SP.POP.TOTL","6934015"
Bulgaria,"BGR","Urban population","SP.URB.TOTL","5248079"
Bulgaria,"BGR","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","4.03999996185303"
Bulgaria,"BGR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","73.6073170731707"
Bulgaria,"BGR","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","54.16092923613"
Bulgaria,"BGR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","56.1209007621055"
Bulgaria,"BGR","Labor force, total","SL.TLF.TOTL.IN","3311854"
Burkina Faso,"BFA","GDP (current US$)","NY.GDP.MKTP.CD","17933606353.1775"
Burkina Faso,"BFA","Population, total","SP.POP.TOTL","21522626"
Burkina Faso,"BFA","Urban population","SP.URB.TOTL","6587430"
Burkina Faso,"BFA","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","5.51908016204834"
Burkina Faso,"BFA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","59.731"
Burkina Faso,"BFA","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","#N/A"
Burkina Faso,"BFA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","#N/A"
Burkina Faso,"BFA","Labor force, total","SL.TLF.TOTL.IN","7743848"
Burundi,"BDI","GDP (current US$)","NY.GDP.MKTP.CD","2649671998.86192"
Burundi,"BDI","Population, total","SP.POP.TOTL","12220227"
Burundi,"BDI","Urban population","SP.URB.TOTL","1675149"
Burundi,"BDI","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","5.04097986221313"
Burundi,"BDI","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","61.566"
Burundi,"BDI","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","22.2240099999999"
Burundi,"BDI","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","4.54931999999994"
Burundi,"BDI","Labor force, total","SL.TLF.TOTL.IN","5110212"
Cabo Verde,"CPV","GDP (current US$)","NY.GDP.MKTP.CD","1703698676.69742"
Cabo Verde,"CPV","Population, total","SP.POP.TOTL","582640"
Cabo Verde,"CPV","Urban population","SP.URB.TOTL","388341"
Cabo Verde,"CPV","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","7.58479022979736"
Cabo Verde,"CPV","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","74.808"
Cabo Verde,"CPV","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","59.8417545432132"
Cabo Verde,"CPV","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","24.8509820217494"
Cabo Verde,"CPV","Labor force, total","SL.TLF.TOTL.IN","230599"
Cambodia,"KHM","GDP (current US$)","NY.GDP.MKTP.CD","25872798012.1938"
Cambodia,"KHM","Population, total","SP.POP.TOTL","16396860"
Cambodia,"KHM","Urban population","SP.URB.TOTL","3973287"
Cambodia,"KHM","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","3.12630653381348"
Cambodia,"KHM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","70.416"
Cambodia,"KHM","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","62.4611925020294"
Cambodia,"KHM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","61.0418163559817"
Cambodia,"KHM","Labor force, total","SL.TLF.TOTL.IN","8690980"
Cameroon,"CMR","GDP (current US$)","NY.GDP.MKTP.CD","40773241531.2395"
Cameroon,"CMR","Population, total","SP.POP.TOTL","26491087"
Cameroon,"CMR","Urban population","SP.URB.TOTL","15248270"
Cameroon,"CMR","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","3.16616010665894"
Cameroon,"CMR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","60.833"
Cameroon,"CMR","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","18.5031369912027"
Cameroon,"CMR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","15.2358435072159"
Cameroon,"CMR","Labor force, total","SL.TLF.TOTL.IN","10818499"
Canada,"CAN","GDP (current US$)","NY.GDP.MKTP.CD","1645423407568.36"
Canada,"CAN","Population, total","SP.POP.TOTL","38037204"
Canada,"CAN","Urban population","SP.URB.TOTL","31023904"
Canada,"CAN","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","5.17000007629395"
Canada,"CAN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","81.7487804878049"
Canada,"CAN","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","31.4190824211379"
Canada,"CAN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","29.3634480170965"
Canada,"CAN","Labor force, total","SL.TLF.TOTL.IN","20487246"
Cayman Islands,"CYM","GDP (current US$)","NY.GDP.MKTP.CD","5608989199.56798"
Cayman Islands,"CYM","Population, total","SP.POP.TOTL","67311"
Cayman Islands,"CYM","Urban population","SP.URB.TOTL","67311"
Cayman Islands,"CYM","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","#N/A"
Cayman Islands,"CYM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","#N/A"
Cayman Islands,"CYM","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","46.2198019341456"
Cayman Islands,"CYM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","60.1287466350613"
Cayman Islands,"CYM","Labor force, total","SL.TLF.TOTL.IN","#N/A"
Central African Republic,"CAF","GDP (current US$)","NY.GDP.MKTP.CD","2326720920.59223"
Central African Republic,"CAF","Population, total","SP.POP.TOTL","5343020"
Central African Republic,"CAF","Urban population","SP.URB.TOTL","2254648"
Central African Republic,"CAF","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","2.16669988632202"
Central African Republic,"CAF","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","54.604"
Central African Republic,"CAF","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","34.3485400014428"
Central African Republic,"CAF","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","15.1724799997493"
Central African Republic,"CAF","Labor force, total","SL.TLF.TOTL.IN","1932138"
Chad,"TCD","GDP (current US$)","NY.GDP.MKTP.CD","10715396135.4168"
Chad,"TCD","Population, total","SP.POP.TOTL","16644701"
Chad,"TCD","Urban population","SP.URB.TOTL","3914834"
Chad,"TCD","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","2.9085099697113"
Chad,"TCD","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","52.777"
Chad,"TCD","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","42.0142110926852"
Chad,"TCD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","26.7161490487759"
Chad,"TCD","Labor force, total","SL.TLF.TOTL.IN","5151952"
Channel Islands,"CHI","GDP (current US$)","NY.GDP.MKTP.CD","#N/A"
Channel Islands,"CHI","Population, total","SP.POP.TOTL","171113"
Channel Islands,"CHI","Urban population","SP.URB.TOTL","52982"
Channel Islands,"CHI","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","#N/A"
Channel Islands,"CHI","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","81.264"
