;Grid_Code;families_total_units;famk_couple_wout_child;famk_couple_1_child_less_18;famk_couple_children_more_18;famk_reg_partner_wout_child;famk_reg_partner_1_child_less_18;famk_reg_partner_children_more_18;famk_nonmarital_wout_child;famk_nonmarital_1_child_less_18;famk_nonmarital_children_more_18;famk_fathers_1_child_less_18;famk_fathers_children_more_18;famk_mothers_1_child_less_18;famk_mothers_children_more_18;famk_wout_child;famk_with_child;famk_single_parent;famk_couple;famk_reg_partner;famk_nonmarital;famk_fathers;famk_mothers;famgr_2_pers;famgr_3_pers;famgr_4_pers;famgr_5_pers;famgr_6_more;fams_seniors_only;fams_seniors_young;fams_wout_seniors
10703;100mN33312E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10867;100mN33313E42403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10868;100mN33313E42404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10869;100mN33313E42405;11;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;10
10870;100mN33313E42406;51;11;14;3;0;0;0;14;3;0;0;0;5;0;0;0;0;0;0;0;0;0;30;11;5;4;0;4;4;43
10871;100mN33313E42407;27;8;3;0;0;0;0;10;3;0;0;0;3;0;0;0;0;0;0;0;0;0;22;3;3;0;0;3;0;24
10872;100mN33313E42408;31;11;5;0;0;0;0;6;0;0;3;0;0;4;0;0;0;0;0;0;0;0;23;3;4;0;0;3;5;23
10873;100mN33313E42409;26;12;3;5;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;17;5;3;0;0;4;4;18
10874;100mN33313E42410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10875;100mN33313E42411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10876;100mN33313E42412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10877;100mN33313E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10878;100mN33313E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10879;100mN33313E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10880;100mN33313E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11044;100mN33314E42402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11045;100mN33314E42403;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3
11046;100mN33314E42404;6;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;6
11047;100mN33314E42405;11;3;0;3;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;0;0;0;3;0;9
11048;100mN33314E42406;31;9;3;3;0;0;0;13;0;0;0;0;3;3;0;0;0;0;0;0;0;0;26;4;0;0;0;0;6;24
11049;100mN33314E42407;16;4;6;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;7;4;3;0;0;0;0;15
11050;100mN33314E42408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11051;100mN33314E42409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11052;100mN33314E42410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11053;100mN33314E42411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11054;100mN33314E42412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11055;100mN33314E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11056;100mN33314E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11057;100mN33314E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11058;100mN33314E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11225;100mN33315E42401;12;6;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;10;3;0;0;0;3;0;9
11226;100mN33315E42402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11227;100mN33315E42403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11228;100mN33315E42404;10;4;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;0;3;0;8
11229;100mN33315E42405;25;4;5;5;0;0;0;5;0;0;0;0;4;0;0;0;0;0;0;0;0;0;14;7;4;0;0;0;3;22
11230;100mN33315E42406;35;11;5;0;0;0;0;4;3;0;3;0;6;3;0;0;0;0;0;0;0;0;24;7;3;3;0;3;3;30
11231;100mN33315E42407;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3
11232;100mN33315E42408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11233;100mN33315E42409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11234;100mN33315E42410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11235;100mN33315E42411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11236;100mN33315E42412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11237;100mN33315E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11238;100mN33315E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11239;100mN33315E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11240;100mN33315E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11412;100mN33316E42399;37;14;0;3;0;0;0;4;4;0;0;3;5;4;0;0;0;0;0;0;0;0;28;7;0;0;0;7;3;27
11413;100mN33316E42400;19;6;3;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;4;0;0;0;3;3;13
11414;100mN33316E42401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11415;100mN33316E42402;21;5;7;5;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;7;3;0;3;4;15
11416;100mN33316E42403;15;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;3;3;0;0;3;12
11417;100mN33316E42404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11418;100mN33316E42405;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3
11419;100mN33316E42406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11420;100mN33316E42407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11421;100mN33316E42408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11422;100mN33316E42409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11423;100mN33316E42410;14;3;0;0;0;0;0;9;0;0;0;0;3;0;0;0;0;0;0;0;0;0;11;3;0;0;0;0;0;14
11424;100mN33316E42411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11425;100mN33316E42412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11426;100mN33316E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11427;100mN33316E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11428;100mN33316E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11429;100mN33316E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11605;100mN33317E42398;49;19;10;4;0;0;0;3;0;0;0;0;8;4;0;0;0;0;0;0;0;0;26;11;8;4;0;6;3;40
11606;100mN33317E42399;30;15;3;0;0;0;0;8;0;0;0;0;0;3;0;0;0;0;0;0;0;0;25;5;0;0;0;12;3;15
11607;100mN33317E42400;10;5;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;8
11608;100mN33317E42401;15;7;3;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;3;0;0;0;3;4;8
11609;100mN33317E42402;26;8;5;4;0;0;0;0;3;0;0;0;3;3;0;0;0;0;0;0;0;0;12;6;7;0;0;4;3;19
11610;100mN33317E42403;7;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;5
11611;100mN33317E42404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11612;100mN33317E42405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11613;100mN33317E42406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11614;100mN33317E42407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11615;100mN33317E42408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11616;100mN33317E42409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11617;100mN33317E42410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11618;100mN33317E42411;19;3;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;3;0;0;0;0;0;17
11619;100mN33317E42412;7;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;6
11620;100mN33317E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11621;100mN33317E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11622;100mN33317E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11800;100mN33318E42397;38;12;7;3;0;0;0;8;0;0;0;0;4;3;0;0;0;0;0;0;0;0;25;10;3;0;0;3;8;28
11801;100mN33318E42398;49;9;16;3;0;0;0;5;3;0;0;0;8;3;0;0;0;0;0;0;0;0;21;14;8;4;3;4;7;38
11802;100mN33318E42399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11803;100mN33318E42400;32;12;6;3;0;0;0;6;0;0;0;0;0;3;0;0;0;0;0;0;0;0;21;7;3;0;0;3;7;22
11804;100mN33318E42401;22;10;4;0;0;0;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;17;4;0;0;0;3;4;16
11805;100mN33318E42402;6;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;6
11806;100mN33318E42403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11807;100mN33318E42404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11808;100mN33318E42405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11809;100mN33318E42406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11810;100mN33318E42407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11811;100mN33318E42408;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3
11812;100mN33318E42409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11813;100mN33318E42410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11814;100mN33318E42411;42;8;4;3;0;0;0;18;3;0;0;0;3;3;0;0;0;0;0;0;0;0;28;10;4;0;0;3;3;36
11815;100mN33318E42412;36;10;9;0;0;0;0;12;0;0;0;0;3;0;0;0;0;0;0;0;0;0;23;5;7;0;0;5;3;29
11816;100mN33318E42413;19;7;5;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;9;6;3;0;0;4;0;14
11817;100mN33318E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11998;100mN33319E42396;12;3;6;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3;3;0;0;0;10
11999;100mN33319E42397;21;11;3;0;0;0;0;3;0;0;0;0;5;0;0;0;0;0;0;0;0;0;16;4;0;0;0;6;3;13
12000;100mN33319E42398;35;6;9;4;0;0;0;3;0;0;0;0;9;3;0;0;0;0;0;0;0;0;13;12;6;4;0;3;4;29
12001;100mN33319E42399;17;3;6;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;3;3;0;0;0;15
12002;100mN33319E42400;35;6;9;3;0;0;0;10;0;0;0;0;6;0;0;0;0;0;0;0;0;0;22;5;5;3;0;4;0;30
12003;100mN33319E42401;34;9;9;4;0;0;0;4;0;0;0;0;0;5;0;0;0;0;0;0;0;0;19;8;7;0;0;3;3;29
12004;100mN33319E42402;25;10;6;3;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;12;6;6;0;0;3;3;20
12005;100mN33319E42403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12006;100mN33319E42404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12007;100mN33319E42405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12008;100mN33319E42406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12009;100mN33319E42407;20;8;3;6;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;6;0;0;0;3;17
12010;100mN33319E42408;23;6;8;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;5;5;0;0;3;3;17
12011;100mN33319E42409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12012;100mN33319E42410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12013;100mN33319E42411;41;9;5;0;0;0;0;17;0;0;0;0;7;0;0;0;0;0;0;0;0;0;32;3;5;0;0;3;6;33
12014;100mN33319E42412;33;10;6;0;0;0;0;6;0;0;0;0;6;3;0;0;0;0;0;0;0;0;26;3;3;3;0;4;0;28
12015;100mN33319E42413;48;12;7;3;0;0;0;8;4;0;0;0;11;3;0;0;0;0;0;0;0;0;31;11;5;0;0;4;5;39
12016;100mN33319E42414;33;8;11;3;0;0;0;4;3;0;0;0;3;3;0;0;0;0;0;0;0;0;16;5;9;3;0;3;0;29
12201;100mN33320E42395;19;6;3;3;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;11;5;3;0;0;3;0;15
12202;100mN33320E42396;26;7;7;0;0;0;0;0;3;0;0;0;5;3;0;0;0;0;0;0;0;0;11;6;6;3;0;3;3;22
12203;100mN33320E42397;20;5;6;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;12;3;3;3;0;3;0;17
12204;100mN33320E42398;29;7;3;3;0;0;0;4;0;0;0;0;5;5;0;0;0;0;0;0;0;0;20;3;5;0;0;3;3;25
12205;100mN33320E42399;46;14;6;4;0;0;0;8;3;0;0;0;10;0;0;0;0;0;0;0;0;0;31;8;5;0;0;10;6;30
12206;100mN33320E42400;32;11;3;3;0;0;0;6;3;0;0;0;4;3;0;0;0;0;0;0;0;0;23;6;3;0;0;5;5;22
12207;100mN33320E42401;27;15;5;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;3;6;0;0;3;5;20
12208;100mN33320E42402;18;5;3;4;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;8;5;3;0;0;3;0;15
12209;100mN33320E42403;6;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;4
12210;100mN33320E42404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12211;100mN33320E42405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12212;100mN33320E42406;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3
12213;100mN33320E42407;30;12;5;3;0;0;0;7;0;0;0;0;3;0;0;0;0;0;0;0;0;0;21;4;5;0;0;7;0;22
12214;100mN33320E42408;51;15;13;4;0;0;0;8;3;0;0;0;6;0;0;0;0;0;0;0;0;0;30;8;11;3;0;3;3;47
12215;100mN33320E42409;35;11;7;0;0;0;0;10;0;0;0;0;6;0;0;0;0;0;0;0;0;0;27;5;3;0;0;3;3;30
12216;100mN33320E42410;34;3;4;3;0;0;0;18;0;0;0;0;5;0;0;0;0;0;0;0;0;0;26;5;3;0;0;0;0;33
12217;100mN33320E42411;53;13;17;5;0;0;0;10;3;0;0;0;3;3;0;0;0;0;0;0;0;0;29;10;14;0;0;4;6;43
12218;100mN33320E42412;64;14;10;3;0;0;0;26;3;0;3;0;4;3;0;0;0;0;0;0;0;0;47;11;5;0;0;4;0;59
12219;100mN33320E42413;48;20;5;3;0;0;0;7;3;0;0;0;10;0;0;0;0;0;0;0;0;0;36;5;7;0;0;11;6;31
12220;100mN33320E42414;11;3;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;0;0;3;7
12408;100mN33321E42394;23;5;6;5;0;0;0;4;0;0;0;0;3;0;0;0;0;0;0;0;0;0;12;4;6;0;0;4;0;18
