;Grid_Code;households_total_units;hhtyp_single;hhtyp_couples_wout_child;hhtyp_couples_with_child;hhtyp_single_parent;hhtyp_multiplepers_wout_nuclear;hhleb_single;hhleb_married_couples;hhleb_registered_partner;hhleb_nonmarital_partner;hhleb_single_mothers;hhleb_single_fathers;hhleb_multipers_wout_nuclear;hhgr_1_pers;hhgr_2_pers;hhgr_3_pers;hhgr_4_pers;hhgr_5_pers;hhgr_6_more;fams_seniors_only;fams_seniors_young;fams_wout_seniors
10878;100mN33313E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10879;100mN33313E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10880;100mN33313E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11044;100mN33314E42402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11045;100mN33314E42403;4;0;3;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0
11046;100mN33314E42404;23;15;5;0;0;3;15;4;0;3;0;0;3;15;7;0;0;0;0;0;0;0
11047;100mN33314E42405;26;11;7;3;0;4;11;6;0;4;0;0;4;11;9;5;0;0;0;0;0;0
11048;100mN33314E42406;115;75;22;5;4;9;75;14;0;13;4;0;9;75;31;6;3;0;0;0;0;0
11049;100mN33314E42407;64;37;5;8;3;11;37;10;0;3;3;0;11;37;18;3;3;3;3;0;0;0
11050;100mN33314E42408;7;6;0;0;0;0;6;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
11051;100mN33314E42409;4;3;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
11052;100mN33314E42410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11053;100mN33314E42411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11054;100mN33314E42412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11055;100mN33314E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11056;100mN33314E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11057;100mN33314E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11058;100mN33314E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11225;100mN33315E42401;35;21;6;3;4;3;21;8;0;0;0;3;3;21;12;3;0;0;0;0;0;0
11226;100mN33315E42402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11227;100mN33315E42403;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11228;100mN33315E42404;30;19;6;3;0;0;19;7;0;3;0;0;0;19;8;3;0;0;0;0;0;0
11229;100mN33315E42405;79;51;9;10;6;3;51;14;0;5;5;0;3;51;16;3;8;0;0;0;0;0
11230;100mN33315E42406;99;57;15;9;11;7;57;17;0;7;9;3;7;57;28;8;3;3;0;0;0;0
11231;100mN33315E42407;7;3;0;0;0;0;3;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0
11232;100mN33315E42408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11233;100mN33315E42409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11234;100mN33315E42410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11235;100mN33315E42411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11236;100mN33315E42412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11237;100mN33315E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11238;100mN33315E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11239;100mN33315E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11240;100mN33315E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11412;100mN33316E42399;93;53;18;8;11;3;53;18;0;8;9;3;3;53;29;9;0;0;0;0;0;0
11413;100mN33316E42400;60;36;12;4;3;5;36;8;0;8;3;0;5;36;17;6;0;0;0;0;0;0
11414;100mN33316E42401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11415;100mN33316E42402;24;3;8;12;0;0;3;17;0;3;0;0;0;3;8;4;7;0;0;0;0;0
11416;100mN33316E42403;25;8;5;9;0;3;8;13;0;0;0;0;3;8;5;6;3;3;0;0;0;0
11417;100mN33316E42404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11418;100mN33316E42405;10;6;0;3;0;0;6;3;0;0;0;0;0;6;3;0;0;0;0;0;0;0
11419;100mN33316E42406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11420;100mN33316E42407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11421;100mN33316E42408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11422;100mN33316E42409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11423;100mN33316E42410;30;13;11;0;3;3;13;3;0;9;3;0;3;13;11;5;0;0;0;0;0;0
11424;100mN33316E42411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11425;100mN33316E42412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11426;100mN33316E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11427;100mN33316E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11428;100mN33316E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11429;100mN33316E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11605;100mN33317E42398;82;29;22;15;12;4;29;33;0;4;12;0;4;29;28;12;9;3;0;0;0;0
11606;100mN33317E42399;68;38;23;5;3;0;38;19;0;9;3;0;0;38;25;5;0;0;0;0;0;0
11607;100mN33317E42400;36;26;5;3;3;0;26;7;0;0;3;0;0;26;8;0;0;0;0;0;0;0
11608;100mN33317E42401;26;10;9;4;3;0;10;11;0;3;3;0;0;10;12;3;3;0;0;0;0;0
11609;100mN33317E42402;44;18;9;12;5;0;18;17;0;4;5;0;0;18;12;6;7;0;0;0;0;0
11610;100mN33317E42403;10;3;3;4;0;0;3;6;0;0;0;0;0;3;3;0;3;0;0;0;0;0
11611;100mN33317E42404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11612;100mN33317E42405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11613;100mN33317E42406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11614;100mN33317E42407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11615;100mN33317E42408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11616;100mN33317E42409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11617;100mN33317E42410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11618;100mN33317E42411;61;35;15;3;0;7;35;5;0;13;0;0;7;35;20;5;0;0;0;0;0;0
11619;100mN33317E42412;9;3;3;3;3;0;3;4;0;0;3;0;0;3;5;0;0;0;0;0;0;0
11620;100mN33317E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11621;100mN33317E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11622;100mN33317E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11800;100mN33318E42397;76;37;20;11;7;0;37;22;0;9;7;0;0;37;25;10;3;0;0;0;0;0
11801;100mN33318E42398;71;22;14;23;12;0;22;28;0;9;11;0;0;22;18;14;9;6;3;0;0;0
11802;100mN33318E42399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11803;100mN33318E42400;89;52;18;10;4;5;52;21;0;7;3;0;5;52;25;6;3;3;0;0;0;0
11804;100mN33318E42401;46;20;14;4;4;4;20;14;0;4;4;0;4;20;19;3;4;0;0;0;0;0
11805;100mN33318E42402;9;3;4;0;3;0;3;3;0;3;0;0;0;3;5;0;0;0;0;0;0;0
11806;100mN33318E42403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11807;100mN33318E42404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11808;100mN33318E42405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11809;100mN33318E42406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11810;100mN33318E42407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11811;100mN33318E42408;8;5;3;0;0;0;5;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0
11812;100mN33318E42409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11813;100mN33318E42410;4;3;0;0;0;0;3;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0
11814;100mN33318E42411;110;63;26;11;5;5;63;15;0;22;5;0;5;63;30;11;6;0;0;0;0;0
11815;100mN33318E42412;124;80;22;11;3;8;80;20;0;13;3;0;8;80;29;6;6;0;0;0;0;0
11816;100mN33318E42413;52;32;8;8;3;0;32;14;0;3;3;0;0;32;9;6;3;0;0;0;0;0
11817;100mN33318E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11998;100mN33319E42396;27;12;4;7;0;3;12;9;0;3;0;0;3;12;8;0;3;3;0;0;0;0
11999;100mN33319E42397;36;13;13;3;5;3;13;14;0;3;5;0;3;13;17;4;0;0;0;0;0;0
12000;100mN33319E42398;132;95;8;14;13;3;95;19;0;3;12;0;3;95;13;12;6;5;0;0;0;0
12001;100mN33319E42399;35;15;7;8;3;3;15;10;0;5;3;0;3;15;11;4;3;0;3;0;0;0
12002;100mN33319E42400;83;42;16;12;7;6;42;18;0;10;7;0;6;42;22;9;5;4;0;0;0;0
12003;100mN33319E42401;61;26;13;14;7;0;26;22;0;5;6;0;0;26;17;9;7;0;0;0;0;0
12004;100mN33319E42402;40;15;10;9;6;0;15;19;0;0;5;0;0;15;12;5;5;3;0;0;0;0
12005;100mN33319E42403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12006;100mN33319E42404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12007;100mN33319E42405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12008;100mN33319E42406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12009;100mN33319E42407;47;25;10;10;0;3;25;17;0;3;0;0;3;25;11;4;7;0;0;0;0;0
12010;100mN33319E42408;76;50;10;10;3;3;50;15;0;5;3;0;3;50;12;5;6;3;0;0;0;0
12011;100mN33319E42409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12012;100mN33319E42410;45;44;0;0;0;0;44;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0
12013;100mN33319E42411;152;95;26;5;10;16;95;14;0;17;8;3;16;95;44;5;5;3;0;0;0;0
12014;100mN33319E42412;119;74;17;7;9;12;74;16;0;7;8;0;12;74;35;5;3;3;0;0;0;0
12015;100mN33319E42413;180;124;20;13;15;8;124;21;0;12;14;0;8;124;33;14;6;3;0;0;0;0
12016;100mN33319E42414;76;40;12;16;5;3;40;22;0;6;5;0;3;40;18;5;8;4;0;0;0;0
12201;100mN33320E42395;44;22;9;8;3;3;22;12;0;5;3;0;3;22;12;6;3;0;0;0;0;0
12202;100mN33320E42396;47;20;7;10;9;0;20;15;0;3;8;0;0;20;11;7;6;3;0;0;0;0
12203;100mN33320E42397;57;33;8;8;4;4;33;12;0;4;4;0;4;33;14;4;3;3;0;0;0;0
12204;100mN33320E42398;54;23;11;6;12;3;23;12;0;5;10;3;3;23;20;5;5;0;0;0;0;0
12205;100mN33320E42399;79;30;22;12;12;3;30;24;0;10;11;0;3;30;31;10;6;0;0;0;0;0
12206;100mN33320E42400;67;32;17;7;8;3;32;16;0;8;7;0;3;32;24;7;3;0;0;0;0;0
12207;100mN33320E42401;54;20;17;8;3;7;20;22;0;3;3;0;7;20;24;4;5;0;0;0;0;0
12208;100mN33320E42402;37;17;7;8;3;3;17;12;0;3;3;0;3;17;10;5;3;0;0;0;0;0
12209;100mN33320E42403;8;3;6;0;0;0;3;3;0;3;0;0;0;3;5;0;0;0;0;0;0;0
12210;100mN33320E42404;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12211;100mN33320E42405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12212;100mN33320E42406;6;3;3;0;0;0;3;3;0;0;0;0;0;3;3;0;0;0;0;0;0;0
12213;100mN33320E42407;93;55;19;7;4;8;55;19;0;7;4;0;8;55;26;7;4;0;0;0;0;0
12214;100mN33320E42408;107;50;23;19;9;6;50;32;0;10;7;3;6;50;29;13;11;4;0;0;0;0
12215;100mN33320E42409;137;85;21;8;6;17;85;18;0;11;6;0;17;85;40;9;3;0;0;0;0;0
12216;100mN33320E42410;126;89;21;7;6;3;89;9;0;19;5;0;3;89;28;6;3;0;0;0;0;0
12217;100mN33320E42411;153;89;24;24;5;11;89;35;0;12;5;0;11;89;33;15;13;3;0;0;0;0
12218;100mN33320E42412;165;91;40;15;9;10;91;26;0;29;6;3;10;91;52;13;7;3;0;0;0;0
12219;100mN33320E42413;141;90;27;11;10;3;90;28;0;10;10;0;3;90;37;6;8;0;0;0;0;0
12220;100mN33320E42414;87;72;5;3;3;4;72;6;0;3;3;0;4;72;10;4;0;0;0;0;0;0
12408;100mN33321E42394;52;27;9;11;3;3;27;16;0;4;3;0;3;27;13;4;7;0;0;0;0;0
12409;100mN33321E42395;27;19;4;3;0;0;19;3;0;3;0;0;0;19;5;3;0;0;0;0;0;0
12410;100mN33321E42396;68;37;14;7;6;4;37;11;0;10;4;3;4;37;19;8;4;0;0;0;0;0
12411;100mN33321E42397;38;28;7;3;0;0;28;7;0;3;0;0;0;28;7;0;3;0;0;0;0;0
12412;100mN33321E42398;79;42;13;10;9;5;42;19;0;4;9;0;5;42;22;8;7;0;0;0;0;0
12413;100mN33321E42399;84;43;15;14;7;5;43;26;0;3;7;0;5;43;23;8;5;4;0;0;0;0
12414;100mN33321E42400;50;31;6;6;3;5;31;9;0;3;3;0;5;31;12;5;3;0;0;0;0;0
12415;100mN33321E42401;15;6;3;7;0;0;6;7;0;3;0;0;0;6;3;0;4;3;0;0;0;0
12416;100mN33321E42402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12417;100mN33321E42403;15;9;3;4;0;0;9;3;0;3;0;0;0;9;3;3;3;0;0;0;0;0
12418;100mN33321E42404;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12419;100mN33321E42405;3;3;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
12420;100mN33321E42406;59;24;17;8;3;7;24;15;0;9;3;0;7;24;23;5;5;3;0;0;0;0
12421;100mN33321E42407;94;37;26;22;3;6;37;33;0;15;3;0;6;37;30;13;12;3;0;0;0;0
12422;100mN33321E42408;122;54;35;17;7;9;54;34;0;18;7;0;9;54;46;13;6;3;0;0;0;0
12423;100mN33321E42409;150;89;32;10;8;11;89;22;0;20;7;0;11;89;42;10;7;0;0;0;0;0
12424;100mN33321E42410;138;91;27;12;3;6;91;22;0;17;3;0;6;91;31;11;3;0;3;0;0;0
12425;100mN33321E42411;121;64;22;19;8;8;64;27;0;14;7;0;8;64;32;13;10;0;0;0;0;0
12426;100mN33321E42412;138;74;21;19;16;8;74;30;0;10;14;3;8;74;37;13;7;5;3;0;0;0
12427;100mN33321E42413;102;72;8;13;5;4;72;16;0;5;3;3;4;72;14;7;5;3;3;0;0;0
12428;100mN33321E42414;19;12;4;3;0;0;12;5;0;0;0;0;0;12;5;3;0;0;0;0;0;0
12429;100mN33321E42415;66;29;21;9;7;0;29;24;0;6;6;0;0;29;24;6;4;0;3;0;0;0
12620;100mN33322E42394;111;63;22;10;10;6;63;25;0;7;8;3;6;63;36;9;3;0;0;0;0;0
12621;100mN33322E42395;58;31;12;7;5;3;31;13;0;6;3;3;3;31;15;8;0;3;0;0;0;0
12622;100mN33322E42396;8;5;3;0;0;0;5;3;0;0;0;0;0;5;3;0;0;0;0;0;0;0
12623;100mN33322E42397;70;59;5;3;3;0;59;5;0;3;3;0;0;59;8;3;0;0;0;0;0;0
12624;100mN33322E42398;70;25;18;11;9;7;25;24;0;5;8;0;7;25;28;13;3;0;0;0;0;0
12625;100mN33322E42399;60;21;21;7;8;3;21;22;0;5;6;3;3;21;25;14;0;0;0;0;0;0
12626;100mN33322E42400;58;27;18;6;3;4;27;19;0;4;3;0;4;27;21;5;4;0;0;0;0;0
12627;100mN33322E42401;6;4;0;3;0;0;4;3;0;0;0;0;0;4;0;0;3;0;0;0;0;0
12628;100mN33322E42402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12629;100mN33322E42403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12630;100mN33322E42404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12631;100mN33322E42405;27;15;3;5;0;3;15;6;0;3;0;0;3;15;6;3;3;0;0;0;0;0
12632;100mN33322E42406;117;63;23;16;8;7;63;25;0;13;4;4;7;63;32;13;7;3;0;0;0;0
12633;100mN33322E42407;139;71;33;17;4;14;71;27;0;23;4;0;14;71;46;14;5;0;3;0;0;0
12634;100mN33322E42408;132;83;29;4;9;7;83;15;0;18;8;0;7;83;34;10;3;0;3;0;0;0
12635;100mN33322E42409;178;112;28;15;10;13;112;21;0;22;9;0;13;112;40;16;9;0;0;0;0;0
12636;100mN33322E42410;82;40;18;14;4;6;40;22;0;9;4;0;6;40;26;9;4;3;0;0;0;0
12637;100mN33322E42411;145;77;38;12;6;12;77;34;3;14;4;3;12;77;48;14;4;0;3;0;0;0
12638;100mN33322E42412;149;109;10;7;13;10;109;11;0;6;13;0;10;109;24;10;4;0;0;0;0;0
12639;100mN33322E42413;31;18;8;5;0;0;18;9;0;4;0;0;0;18;7;0;3;0;3;0;0;0
12640;100mN33322E42414;76;45;12;10;4;5;45;20;0;3;3;3;5;45;19;3;8;0;0;0;0;0
12641;100mN33322E42415;64;31;15;11;4;3;31;21;0;5;3;0;3;31;19;4;6;3;0;0;0;0
12642;100mN33322E42416;60;36;10;7;3;5;36;12;0;5;3;0;5;36;15;4;3;0;0;0;0;0
12833;100mN33323E42393;71;39;13;4;11;4;39;15;0;3;10;0;4;39;24;6;3;0;0;0;0;0
12834;100mN33323E42394;87;52;23;3;4;5;52;14;0;12;4;0;5;52;29;5;0;0;0;0;0;0
12835;100mN33323E42395;71;46;13;7;3;3;46;11;0;9;3;0;3;46;17;3;5;0;0;0;0;0
12836;100mN33323E42396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12837;100mN33323E42397;80;35;27;10;7;0;35;24;0;13;6;0;0;35;30;8;5;0;0;0;0;0
12838;100mN33323E42398;53;19;17;10;3;5;19;16;0;11;3;0;5;19;21;5;3;4;3;0;0;0
12839;100mN33323E42399;67;27;15;17;3;5;27;27;0;5;3;0;5;27;20;4;12;3;3;0;0;0
12840;100mN33323E42400;78;39;19;13;3;4;39;27;0;5;3;0;4;39;24;8;6;0;0;0;0;0
12841;100mN33323E42401;3;3;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
12842;100mN33323E42402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12843;100mN33323E42403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12844;100mN33323E42404;6;0;5;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0
